annee,genre,popularite
1994,Rock,23.5
1995,Rock,22.3
1996,Rock,18.3
1997,Rock,11.0
1998,Rock,11.3
1999,Rock,16.5
2000,Rock,12.1
2001,Rock,10.8
2002,Rock,9.3
2003,Rock,8.2
2004,Rock,9.1
2005,Rock,8.0
2006,Rock,9.3
2007,Rock,8.4
2008,Rock,8.7
2009,Rock,7.7
2010,Rock,5.2
2011,Rock,3.4
2012,Rock,3.4
2013,Rock,1.8
2014,Rock,5.4
2015,Rock,0.8
2016,Rock,1.4
1958,Country,8.9
1959,Country,7.6
1960,Country,9.5
1961,Country,7.0
1962,Country,7.2
1963,Country,4.8
1964,Country,3.4
1965,Country,3.9
1966,Country,4.0
1967,Country,2.8
1968,Country,3.6
1969,Country,4.8
1970,Country,6.4
1971,Country,6.6
1972,Country,3.3
1973,Country,8.8
1974,Country,8.5
1975,Country,6.4
1976,Country,4.4
1977,Country,5.0
1978,Country,4.1
1979,Country,5.4
1980,Country,8.9
1981,Country,9.8
1982,Country,7.6
1983,Country,4.9
1984,Country,2.3
1985,Country,0.7
1986,Country,0.7
1987,Country,0.5
1988,Country,0.1
1992,Country,1.3
1993,Country,3.3
1994,Country,3.6
1995,Country,1.9
1996,Country,1.8
1997,Country,4.3
1998,Country,12.1
1999,Country,24.0
2000,Country,23.5
2001,Country,21.4
2002,Country,19.4
2003,Country,20.3
2004,Country,19.4
2005,Country,20.2
2006,Country,19.3
2007,Country,19.7
2008,Country,18.7
2009,Country,20.7
2010,Country,21.7
2011,Country,24.6
2012,Country,22.7
2013,Country,23.0
2014,Country,23.2
2015,Country,21.6
2016,Country,19.1
1958,Pop,1.1
1959,Pop,1.3
1960,Pop,0.8
1961,Pop,1.5
1962,Pop,0.7
1963,Pop,2.7
1964,Pop,3.0
1965,Pop,2.8
1966,Pop,2.8
1967,Pop,5.9
1968,Pop,6.5
1969,Pop,6.1
1970,Pop,9.4
1971,Pop,9.3
1972,Pop,10.1
1973,Pop,6.4
1974,Pop,7.5
1975,Pop,6.6
1976,Pop,7.3
1977,Pop,7.8
1978,Pop,3.2
1979,Pop,5.4
1980,Pop,3.6
1981,Pop,3.9
1982,Pop,3.7
1983,Pop,7.0
1984,Pop,8.2
1985,Pop,7.0
1986,Pop,11.9
1987,Pop,17.7
1988,Pop,25.3
1989,Pop,27.6
1990,Pop,25.6
1991,Pop,24.2
1992,Pop,17.5
1993,Pop,13.6
1994,Pop,11.4
1995,Pop,12.6
1996,Pop,18.1
1997,Pop,20.4
1998,Pop,16.8
1999,Pop,14.9
2000,Pop,18.7
2001,Pop,16.8
2002,Pop,15.1
2003,Pop,15.1
2004,Pop,16.7
2005,Pop,20.8
2006,Pop,23.8
2007,Pop,27.2
2008,Pop,30.7
2009,Pop,34.2
2010,Pop,37.6
2011,Pop,40.9
2012,Pop,40.5
2013,Pop,39.7
2014,Pop,40.1
2015,Pop,38.6
2016,Pop,36.8
1959,Rap/Hip-Hop,0.2
1961,Rap/Hip-Hop,0.1
1964,Rap/Hip-Hop,0.1
1969,Rap/Hip-Hop,0.2
1980,Rap/Hip-Hop,0.1
1982,Rap/Hip-Hop,0.3
1984,Rap/Hip-Hop,0.0
1985,Rap/Hip-Hop,0.6
1986,Rap/Hip-Hop,0.7
1987,Rap/Hip-Hop,1.8
1988,Rap/Hip-Hop,3.5
1989,Rap/Hip-Hop,2.3
1990,Rap/Hip-Hop,8.0
1991,Rap/Hip-Hop,9.3
1992,Rap/Hip-Hop,13.1
1993,Rap/Hip-Hop,19.6
1994,Rap/Hip-Hop,17.4
1995,Rap/Hip-Hop,19.1
1996,Rap/Hip-Hop,17.9
1997,Rap/Hip-Hop,15.1
1998,Rap/Hip-Hop,18.6
1999,Rap/Hip-Hop,10.7
2000,Rap/Hip-Hop,12.0
2001,Rap/Hip-Hop,14.3
2002,Rap/Hip-Hop,19.5
2003,Rap/Hip-Hop,20.2
2004,Rap/Hip-Hop,27.1
2005,Rap/Hip-Hop,22.3
2006,Rap/Hip-Hop,19.3
2007,Rap/Hip-Hop,19.4
2008,Rap/Hip-Hop,18.6
2009,Rap/Hip-Hop,16.7
2010,Rap/Hip-Hop,17.9
2011,Rap/Hip-Hop,17.6
2012,Rap/Hip-Hop,21.1
2013,Rap/Hip-Hop,21.9
2014,Rap/Hip-Hop,16.3
2015,Rap/Hip-Hop,23.4
2016,Rap/Hip-Hop,30.0
